Month Year,Year,Credit Rating,S_DollarLenderYield,Value Loans (agg),S_LYNetP,S_annualNetP,L_DollarLenderYield,L_LOA,L_LYNetP,L_annualNetP,estYield,Estimated Yield,estRateDiff
August-2009,2009,C,37572.2035,195177,37572.2035,11397.1374236,60.0,60,60.0,60.0,19.2503232963,5.83938549294,13.4109378034
August-2009,2009,D,43948.3,182825,43948.3,22990.2368504,52.0,52,52.0,52.0,24.0384520717,12.5749962261,11.4634558455
August-2009,2009,E,13508.11,48549,13508.11,1424.79950774,31.0,31,31.0,31.0,27.8236626913,2.93476592256,24.8888967687
August-2009,2009,HR,17279.9,65450,17279.9,11068.6708788,17.0,17,17.0,17.0,26.4016806723,16.9116438179,9.49003685435
August-2009,2010,A,902.0,11000,902.0,520.856838778,3.0,3,3.0,3.0,8.2,4.73506217071,3.46493782929
August-2009,2010,AA,1181.25,15000,1181.25,608.31849174,2.0,2,2.0,2.0,7.875,4.0554566116,3.8195433884
August-2009,2010,B,1897.5,15000,1897.5,1235.29542405,1.0,1,1.0,1.0,12.65,8.235302827,4.414697173
August-2009,2010,C,1379.7,7300,1379.7,1395.79719259,1.0,1,1.0,1.0,18.9,19.1205094876,-0.220509487593
August-2009,2010,E,1815.0,6000,1815.0,1546.48160023,1.0,1,1.0,1.0,30.25,25.7746933372,4.47530666282
August-2009,2010,HR,315.0,1500,315.0,173.454870477,1.0,1,1.0,1.0,21.0,11.5636580318,9.43634196822
August-2010,2010,A,25965.67,256500,25965.67,5525.83843712,34.0,34,34.0,34.0,10.1230682261,2.15432297744,7.96874524869
August-2010,2010,AA,22142.05,295300,22142.05,13969.6955915,35.0,35,35.0,35.0,7.49815441923,4.73067917085,2.76747524838
August-2010,2010,B,70785.5415,517721,70785.5415,30464.5969361,67.0,67,67.0,67.0,13.6725266118,5.88436569815,7.78816091368
August-2010,2010,C,25039.2,114700,25039.2,20107.7870584,12.0,12,12.0,12.0,21.8301656495,17.5307646542,4.29940099533
August-2010,2010,D,104278.15,409010,104278.15,12472.950209,113.0,113,113.0,113.0,25.4952568397,3.04954651696,22.4457103227
