Month Year,Year,Credit Rating,S_DollarLenderYield,Value Loans (agg),S_LYNetP,S_annualNetP,L_DollarLenderYield,L_LOA,L_LYNetP,L_annualNetP,estYield,Estimated Yield,estRateDiff
September-2010,2010,A,26738.71,256040,26738.71,11312.2806545,30.0,30,30.0,30.0,10.4431768474,4.4181692917,6.02500755567
September-2010,2010,AA,20748.225,289545,20748.225,-9122.2068771,30.0,30,30.0,30.0,7.16580324302,-3.15053165384,10.3163348969
September-2010,2010,B,67168.6335,490649,67168.6335,-7350.53032047,59.0,59,59.0,59.0,13.6897524503,-1.49812397875,15.1878764291
September-2010,2010,C,16192.5,75500,16192.5,-14942.7549983,8.0,8,8.0,8.0,21.4470198675,-19.7917284745,41.2387483421
September-2010,2010,D,123715.2,473824,123715.2,29916.0159458,110.0,110,110.0,110.0,26.1099479976,6.31374011147,19.7962078861
September-2010,2010,E,90516.6522,282378,90516.6522,12097.3433591,64.0,64,64.0,64.0,32.0551360942,4.28409555954,27.7710405346
September-2010,2010,HR,79543.79,253800,79543.79,16909.7538793,86.0,86,86.0,86.0,31.3411308117,6.66262958207,24.6785012296
September-2011,2011,A,112666.098,957792,112666.098,-33611.2221265,92.0,92,92.0,92.0,11.7631070211,-3.50924022402,15.2723472452
September-2011,2011,AA,10256.65,123500,10256.65,9049.99345067,16.0,16,16.0,16.0,8.30497975709,7.32792991957,0.977049837516
September-2011,2011,B,98504.7212,576748,98504.7212,19150.6389318,75.0,75,75.0,75.0,17.0793346834,3.32045172793,13.7588829555
September-2011,2011,C,71955.61,383900,71955.61,15433.0518531,50.0,50,50.0,50.0,18.7433211774,4.02007081352,14.7232503639
September-2011,2011,D,349820.364,1364910,349820.364,-21563.8745052,207.0,207,207.0,207.0,25.6295553553,-1.57987519362,27.2094305489
September-2011,2011,E,244664.1325,809175,244664.1325,-33441.5334473,158.0,158,158.0,158.0,30.2362446319,-4.13279370313,34.369038335
September-2011,2011,HR,78062.4875,254075,78062.4875,-4029.4064988,72.0,72,72.0,72.0,30.7241906917,-1.58591223017,32.3101029219
September-2011,2012,A,2108.0,20000,2108.0,1675.01800994,1.0,1,1.0,1.0,10.54,8.3750900497,2.1649099503
September-2011,2012,B,4236.3,27000,4236.3,4422.3761617,2.0,2,2.0,2.0,15.69,16.3791709692,-0.689170969242
September-2011,2012,D,2349.0,10000,2349.0,2161.32,1.0,1,1.0,1.0,23.49,21.6132,1.8768
September-2011,2012,E,456.8,2000,456.8,413.16283605,1.0,1,1.0,1.0,22.84,20.6581418025,2.1818581975
September-2012,2012,A,100594.0613,913590,100594.0613,-121885.047559,75.0,75,75.0,75.0,11.0108540264,-13.3413289943,24.3521830207
September-2012,2012,AA,30379.31,422900,30379.31,-1199.69662072,35.0,35,35.0,35.0,7.18356821944,-0.283683287,7.46725150644
September-2012,2012,B,82888.3812,525458,82888.3812,3445.05211038,56.0,56,56.0,56.0,15.7745017109,0.655628444211,15.1188732667
September-2012,2012,C,231654.0579,1102909,231654.0579,-124428.31042,108.0,108,108.0,108.0,21.0039140038,-11.2818292733,32.2857432771
September-2012,2012,D,246838.1573,1035101,246838.1573,-108733.572442,125.0,125,125.0,125.0,23.8467702475,-10.5046340833,34.3514043308
September-2012,2012,E,80098.4,284500,80098.4,-44189.0021447,76.0,76,76.0,76.0,28.1540949033,-15.532162441,43.6862573443
September-2012,2012,HR,161040.3336,523368,161040.3336,-104532.4444,145.0,145,145.0,145.0,30.77,-19.973029379,50.743029379
September-2013,2013,A,34366.15,333500,34366.15,38806.2211349,22.0,22,22.0,22.0,10.3046926537,11.6360483163,-1.33135566265
September-2013,2013,AA,1032.3,15500,1032.3,1093.69057412,1.0,1,1.0,1.0,6.66,7.05606822011,-0.396068220115
September-2013,2013,B,45081.97,325800,45081.97,34416.7933888,26.0,26,26.0,26.0,13.8373143033,10.5637794318,3.27353487144
September-2013,2013,C,89438.8,506300,89438.8,101376.754397,42.0,42,42.0,42.0,17.6651787478,20.0230603195,-2.35788157169
September-2013,2013,D,54701.975,245050,54701.975,67366.8278506,25.0,25,25.0,25.0,22.3227810651,27.4910540096,-5.16827294456
September-2013,2013,E,35782.35,133500,35782.35,34346.0447142,22.0,22,22.0,22.0,26.803258427,25.7273743178,1.07588410921
September-2013,2013,HR,7780.4,26000,7780.4,9097.39130746,7.0,7,7.0,7.0,29.9246153846,34.9899665671,-5.06535118253
